Setup,Model,MAE_mean,MAE_std,R2_mean,R2_std
Traditional Only,Ridge,3.865119261527339,0.513225059275066,-0.25933180870446737,0.18292377178086966
Traditional Only,RandomForest,3.6411282008917447,0.6512147823516323,-0.14321651713611555,0.16837675079777883
Traditional Only,GradientBoosting,4.075989137303263,0.6652708009881033,-0.3863308837233296,0.18228276108626307
Traditional Only,XGBoost,3.778491401672363,0.5981194878976525,-0.23388755321502686,0.2265933274306772
Traditional Only,LightGBM,3.85072139565537,0.46517741931011325,-0.3203036461416003,0.21091579653161105
Traditional Only,CatBoost,3.6520300392301737,0.5686568211526128,-0.15358293144738233,0.16110182815269605
Traditional Only,TunedCatBoost,3.5751218600359165,0.5037738127223164,-0.10980717270522411,0.17548754885391915
