,0
adj_ratio,0.18167517481033443
filler_rate,0.11724030444053692
bert_pc6,0.09603946224781466
bert_pc3,0.07980921108985257
bert_pc9,0.06893911798506641
bert_pc7,0.06789036577111024
mattr,0.06020276446511277
repetition_rate,0.0550816564764722
first_person_rate,0.0445359707586008
bert_pc5,0.04029853302762675
std_sent_len,0.031987347496729546
bert_pc10,0.026012469885441113
avg_dep_depth,0.02092756491775127
ttr,0.020264535037493543
subord_ratio,0.016305246667595887
fk_grade,0.014752127820837417
gunning_fog,0.014496278929342273
avg_word_len,-0.00020666311694206332
bert_pc8,-0.009768909128993685
bert_pc4,-0.011600463723953295
avg_sent_len,-0.01664741702560772
flesch_reading_ease,-0.03566200000723521
total_words,-0.05924571631602893
verb_ratio,-0.06087195638517996
noun_ratio,-0.06251140005753782
pronoun_types,-0.06827376523093691
bert_pc1,-0.08675942626183278
bert_pc2,-0.13362365949466332
cohort_rate,-0.15467739341137685
