age_group,samples,mae,mean_error,within_5
70-79,21,5.18876759515614,5.18876759515614,47.61904761904761
80-89,95,2.032630673933135,-0.15693415663878715,96.84210526315789
90+,17,8.468085634758122,-8.468085634758122,11.76470588235294
