age_group,samples,mae,mean_error,within_5
70-79,21,4.903069813301912,4.903069813301912,52.38095238095239
80-89,95,1.9831665207756888,-0.1359013275364088,96.84210526315789
90+,17,8.741647905428215,-8.741647905428215,11.76470588235294
