Setup,Best_Model,Samples,Features,MAE,R2,Within_5_Years
Traditional Only,TunedCatBoost,133,19,3.5786100005522115,-0.029351608308933352,78.19548872180451
Traditional + BERT,TunedCatBoost,133,29,3.3080699244008285,0.08152044582884954,78.94736842105263
Traditional + BERT + DLATK,TunedCatBoost,133,41,3.257054823109554,0.10476851032759593,78.94736842105263
