,0
filler_rate,0.14649780430968862
adj_ratio,0.11889251828597036
mattr,0.0667351579100544
subord_ratio,0.05711490799188572
repetition_rate,0.04901548863331916
ttr,0.038807042431655774
first_person_rate,0.03636561005392426
std_sent_len,0.034162404138712396
fk_grade,0.02601720527187104
gunning_fog,0.025830374178223623
avg_dep_depth,0.02522806363596199
avg_sent_len,-0.009621941060833777
avg_word_len,-0.015037988213487459
flesch_reading_ease,-0.03420375563120494
verb_ratio,-0.04068632579053194
noun_ratio,-0.07933147943609463
total_words,-0.09286209666852605
pronoun_types,-0.11376503249285291
cohort_rate,-0.24168552139226668
