,0
avg_word_len,0.11228518249335931
first_person_rate,0.10390524690145235
mattr,0.07889436706212254
avg_sent_len,0.07111918979800932
subord_ratio,0.06315016876123337
repetition_rate,0.0624442207416184
adj_ratio,0.05978156740025939
filler_rate,0.05377065165197913
cohort_rate,0.05152591346161096
total_words,0.050282962835182445
verb_ratio,0.048814225640026375
std_sent_len,0.038319224068668896
avg_dep_depth,0.037058337001348716
pronoun_types,0.03678940341725952
flesch_reading_ease,0.03654359617701469
noun_ratio,0.02899978722564697
ttr,0.026170781882457975
gunning_fog,0.020728895012230856
fk_grade,0.019416278468518747
