,MAE,MAE_std,R2,R2_std
Ridge,3.1430410052444224,0.5274082061803661,-0.07102550920315354,0.17449261591533272
RandomForest,3.126422150675517,0.1452290857734048,-0.07241581393852545,0.2858957702609633
GradientBoosting,3.2046508773509883,0.2186028230043653,-0.21448797920488097,0.7159383976786947
