age_group,samples,mae,mean_error,within_5
70-79,21,5.637827244691504,5.637827244691504,33.33333333333333
80-89,95,2.308120263032051,0.3348343177936777,92.63157894736842
90+,17,8.67898665110304,-8.67898665110304,17.647058823529413
