,Setup,Samples,Features,MAE,MAE_std,R2,R2_std
Ridge,Traditional Only,133,19,3.86511926152734,0.513225059275064,-0.25933180870446837,0.18292377178086894
RandomForest,Traditional Only,133,19,3.6267892875762024,0.6483732998964612,-0.13116643346978624,0.1680513824619305
GradientBoosting,Traditional Only,133,19,4.039409934712618,0.6530914900047039,-0.35447017472811954,0.1734507337099065
Ridge,Traditional + BERT,133,29,3.72769625113295,0.7309613981661512,-0.19251555774580448,0.14210073554354322
RandomForest,Traditional + BERT,133,29,3.443664057507931,0.659293336206227,0.004040186885092378,0.1448005523338765
GradientBoosting,Traditional + BERT,133,29,3.666346799259859,0.5692104991447504,-0.1863287216995495,0.14831747677513846
Ridge,Traditional + BERT + DLATK,133,41,3.685771428659971,0.7231795118830673,-0.14088174725448557,0.1645576265521681
RandomForest,Traditional + BERT + DLATK,133,41,3.4400360300082062,0.5716567216652894,0.016303479207209315,0.09563480726058043
GradientBoosting,Traditional + BERT + DLATK,133,41,3.6362597833758037,0.4872619464656861,-0.14658565397272744,0.16107258323664697
