iter	MAE
398	1.20100516
399	1.200681769
400	1.199017076
401	1.197846084
402	1.197042058
403	1.196435548
404	1.194681289
405	1.194366089
406	1.193525859
407	1.192955853
408	1.192471632
409	1.192143405
410	1.19127953
411	1.189018272
412	1.188174242
413	1.182892712
414	1.182374459
415	1.182072013
416	1.180050218
417	1.178952953
418	1.177658618
419	1.177116698
420	1.175244904
421	1.174784815
422	1.172646599
423	1.171650559
424	1.171218008
425	1.170967044
426	1.170365575
427	1.168017011
428	1.167610535
429	1.16254771
430	1.161716645
431	1.160954044
432	1.159957916
433	1.157690541
434	1.156755994
435	1.155257991
436	1.154787799
437	1.15302489
438	1.150636613
439	1.150393223
440	1.150048479
441	1.149669434
442	1.149376765
443	1.14732993
444	1.146698864
445	1.14619929
446	1.145621125
447	1.144717795
448	1.141941977
449	1.140317897
450	1.139739418
451	1.139449306
452	1.137923502
453	1.136166843
454	1.135390343
455	1.134517793
456	1.132987752
457	1.132826985
458	1.130312431
459	1.130086757
460	1.129394615
461	1.128554952
462	1.128414547
463	1.12738333
464	1.127061881
465	1.126125642
466	1.125757638
467	1.125539344
468	1.125273677
469	1.12508
470	1.124934608
471	1.124074785
472	1.123441478
473	1.123193028
474	1.122986999
475	1.122329353
476	1.120547199
477	1.119498655
478	1.118469824
479	1.117418206
480	1.11674525
481	1.116483177
482	1.115790989
483	1.115540045
484	1.115252756
485	1.114792531
486	1.114276368
487	1.113071664
488	1.112720612
489	1.112017862
490	1.111019532
491	1.109332
492	1.10855152
493	1.108153806
494	1.107374132
495	1.107161266
496	1.106650653
497	1.106325325
498	1.105412666
499	1.103585948
