ttr,mattr,avg_word_len,total_words,avg_sent_len,std_sent_len,avg_dep_depth,subord_ratio,noun_ratio,verb_ratio,adj_ratio,filler_rate,repetition_rate,cohort_rate,first_person_rate,pronoun_types,flesch_reading_ease,fk_grade,gunning_fog,item_id,birth_year,recording_year,age,branch,bert_pc1,bert_pc2,bert_pc3,bert_pc4,bert_pc5,bert_pc6,bert_pc7,bert_pc8,bert_pc9,bert_pc10,vader_compound,vader_pos,vader_neg,vader_neu,nrc_anger,nrc_fear,nrc_joy,nrc_sadness,nrc_trust,nrc_anticipation,first_person_word_rate,function_word_rate
0.170162558993183,0.750917007520781,4.002359727320399,7628,17.141573033707864,13.952735698801908,2.61403122938201,0.0600395865405762,0.12227842533538597,0.10600395865405762,0.037717176160105566,0.0,0.001048767697954903,0.00013109596224436288,0.07551127425275302,44,73.90565755297335,7.527275461380725,9.924265208475736,afc2001001_01070,1917,2002,85,army,0.044584624,-0.04826547,-0.086778075,-0.05019894,0.020403998,-0.017719336,-0.006226707,0.039271068,0.021536374,0.010560617,0.9998,0.078,0.046,0.877,0.0,0.0,0.0,0.0,0.0,0.0,0.06565003876970793,0.24747996898423366
0.35350553505535054,0.7854977029096479,4.302583025830258,1355,23.362068965517242,12.431464911960807,3.358652575957728,0.0548216644649934,0.1644649933949802,0.11360634081902246,0.04095112285336856,0.0,0.0,0.0007380073800738007,0.06199261992619926,19,67.49616572036908,9.880052005579895,11.73285528988522,afc2001001_05816,1921,2003,82,army air forces/corps,-0.18997452,-0.02707821,-0.16915208,0.0913983,0.23600784,-0.04951547,0.012931538,0.06731582,-0.043935604,-0.043331955,0.9852,0.089,0.066,0.845,0.0,0.0,0.0,0.0,0.0,0.0,0.05799151343705799,0.272984441301273
0.13619474695707878,0.7181768953068592,3.8989109545163356,7805,10.992957746478874,8.415191225659214,2.1017657507052556,0.06143558666805976,0.11660223592101139,0.10960192247414063,0.022359210113885697,0.0,0.0039718129404228055,0.0029468289557975655,0.08942985265855222,45,82.99579130426912,4.85466383572879,7.396857066374437,afc2001001_00156,1917,2002,85,army,0.071263514,-0.06388698,-0.020645268,-0.08416975,0.010417892,0.060849775,0.03923389,-0.0124737965,-0.0301555,-0.016443623,0.9998,0.073,0.038,0.889,0.0,0.0,0.0,0.0,0.0,0.0,0.08165046123161307,0.22911992021939667
0.23138510808646917,0.755440778799351,4.110755270883374,3747,18.10144927536232,16.666502834733524,2.8134655291676274,0.06433018215356237,0.1364998847129352,0.11321189762508646,0.04173391745446161,0.0,0.0026688017080330933,0.0024019215372297837,0.05951427808913798,39,70.46728914004173,8.464559393695598,11.066373956184721,afc2001001_04957,1921,2003,82,army,-0.033040103,-0.048259366,-0.053257726,-0.0073589543,-0.06073115,-0.033257008,0.0030501066,-0.0069288015,-0.0038943356,0.01157839,0.9987,0.092,0.065,0.844,0.0,0.0,0.0,0.0,0.0,0.0,0.05665349143610013,0.23926218708827404
0.13469148468415654,0.6877413640389726,3.8294005569397624,6823,14.30398322851153,11.65461393880603,2.3457101658255226,0.06621004566210045,0.09516943042537851,0.1099495313626532,0.03436673876472002,0.0,0.017587571449509013,0.0032243880990766526,0.08412721676681811,43,78.49618080664467,7.0583430253451205,9.203967655194317,afc2001001_20996,1923,2005,82,marine corps,-0.08024494,-0.023762269,0.04878451,-0.010238778,-0.030132642,-0.013443075,0.001761686,-0.048859436,-0.04622895,0.009471912,0.9997,0.087,0.055,0.858,0.0,0.0,0.0,0.0,0.0,0.0,0.07291952760230706,0.22219170557539136
0.1842586943258084,0.7036110250851657,3.6638194020744357,3278,11.833935018050541,12.137354848177539,2.290002420721375,0.059791817961752605,0.10578552408617768,0.1205519244734931,0.032195594287097555,0.001525320317266626,0.007931665649786455,0.0,0.09182428309945088,42,88.66089535236938,4.543915769831628,6.8020222183648675,afc2001001_48889,1919,2007,88,unknown,0.06804697,-0.02666941,0.01820726,0.05601494,0.007691071,-0.0020780005,-0.015961725,0.027396357,-0.008330093,0.0018684642,0.9988,0.083,0.046,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.08311537343795408,0.2034292356873002
0.18881252386407027,0.7273000578146078,4.027873234058801,5238,13.160804020100503,10.068322948323749,2.5465264499681326,0.06739961759082218,0.12221159974506055,0.1035691523263225,0.0455704270235819,0.00038182512409316535,0.005154639175257732,0.000572737686139748,0.06013745704467354,44,76.5135795467038,6.208639310381653,8.825064676585663,afc2001001_48906,1920,2007,87,army,0.13519882,-0.0443364,-0.019309266,0.0010704957,-0.030668594,0.0012697638,0.023735875,-0.0052054524,0.01942086,0.028858492,0.9998,0.103,0.057,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.05060690943043884,0.2504201680672269
0.15936165430433805,0.7251909090909091,3.8435603506405935,4449,12.567796610169491,9.526779514265817,2.158698418469369,0.06253408471187057,0.10252681330667152,0.12197782221414288,0.022541356117069623,0.0,0.0026972353337828725,0.0002247696111485727,0.059788716565520345,36,88.9723731948033,4.442486292585915,7.092456668844604,afc2001001_48899,1925,2007,82,navy,-0.045666985,-0.03041005,0.077145055,-0.007394618,0.0073532187,0.007919001,-0.036358465,-0.03256895,0.008770649,0.026794454,0.9998,0.106,0.044,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0533128565160158,0.20491443615620886
0.1716937354988399,0.7414469507101087,3.8289691746768315,6034,9.128593040847202,7.232268168535769,1.8575415282392027,0.04318936877076412,0.10803986710963455,0.10990033222591362,0.036544850498338874,0.00033145508783559825,0.004474643685780577,0.0008286377195889957,0.06479946967185947,38,90.32979023469113,3.400069490153765,5.71727434583221,afc2001001_05555,1920,2003,83,army,-0.0110367015,0.018876618,-0.047321923,0.06244009,0.021947993,0.046562757,-0.015525999,-0.029065972,0.026111702,0.0012099576,0.9999,0.095,0.043,0.862,0.0,0.0,0.0,0.0,0.0,0.0,0.057886178861788616,0.21365853658536585
0.1271651880016899,0.6756704533389956,3.7182087029995774,9468,9.147826086956522,6.958287215585828,1.773234510326449,0.04963357761492338,0.09443704197201866,0.12141905396402398,0.022151898734177215,0.0,0.018377693282636248,0.0028517110266159697,0.10720321081537812,41,93.47593731716731,2.4441848306424525,4.6967024759438845,afc2001001_20699,1918,2004,86,army,0.0074025523,0.044172175,-0.032287963,-0.02106294,-0.0019288012,0.027635721,0.014461787,-0.047165502,-0.015277172,-0.014505212,0.9878,0.077,0.066,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.08720810084728249,0.2118206240958876
